DevelopmentID,departmentID,initiative_type,initiative_date
1,262,nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi,1386-09-05
2,145,tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque,1352-05-17
3,275,nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem,1500-03-28
4,358,tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum,1301-05-27
5,111,condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit,1558-10-08
6,278,mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies,1247-01-22
7,373,justo sollicitudin ut suscipit a feugiat et eros vestibulum ac,1549-03-02
8,167,odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce,1356-07-19
9,12,iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean,1522-04-16
10,176,luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi,1715-05-16
11,93,nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non,1851-07-09
12,201,hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque,1991-11-09
13,338,metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum,1269-05-21
14,66,pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis,1647-06-07
15,281,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium,1335-10-30
16,399,ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique,1218-07-29
17,88,ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit,1502-03-09
18,179,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus,1459-02-13
19,332,amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla,1650-07-30
20,199,vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien,1939-12-27
21,357,proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget,1510-02-26
22,3,pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim,1597-01-23
23,44,in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui,1270-05-26
24,368,suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris,1817-08-07
25,287,erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget,1612-04-28
26,201,integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in,1987-12-31
27,260,nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque,1603-03-02
28,175,maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum,1858-01-29
29,183,nulla eget eros elementum pellentesque quisque porta volutpat erat quisque,1679-02-10
30,320,nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,1912-10-23
31,276,sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci,1694-04-23
32,72,aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam,1389-02-21
33,387,at turpis a pede posuere nonummy integer non velit donec diam,1426-11-24
34,356,dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in,1935-05-22
35,217,eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula,1717-01-14
36,348,eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur,1502-04-06
37,144,cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla,1713-08-27
38,299,adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a,1232-03-09
39,148,vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis,1625-06-10
40,16,fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui,1727-08-05
41,382,quam a odio in hac habitasse platea dictumst maecenas ut,1883-06-29
42,69,sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti,1834-01-30
43,143,dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis,1990-10-28
44,123,cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel,1515-10-08
45,240,quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis,1977-01-25
46,286,cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec,1748-03-31
47,381,at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam,1271-06-18
48,78,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat,1740-08-22
49,264,condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu,1745-08-11
50,357,non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing,1425-04-30
51,147,vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes,1873-07-17
52,364,nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras,1461-01-09
53,21,nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu,1740-10-19
54,197,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante,1728-07-11
55,331,felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu,1956-04-17
56,298,felis donec semper sapien a libero nam dui proin leo odio porttitor id,1549-07-13
57,357,vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non,1337-03-05
58,357,libero convallis eget eleifend luctus ultricies eu nibh quisque id,1528-04-14
59,194,velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus,1373-01-22
60,277,maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac,1700-11-07
61,273,lectus vestibulum quam sapien varius ut blandit non interdum in,1272-02-28
62,333,aenean fermentum donec ut mauris eget massa tempor convallis nulla,1458-12-11
63,272,parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis,1494-03-19
64,330,maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat,1983-02-07
65,7,sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,1424-08-27
66,139,lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non,1542-05-31
67,167,leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio,1576-05-19
68,172,faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec,1934-01-28
69,213,lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue,1981-09-14
70,41,eget rutrum at lorem integer tincidunt ante vel ipsum praesent,1629-08-17
71,230,proin eu mi nulla ac enim in tempor turpis nec euismod,1767-02-15
72,342,non mi integer ac neque duis bibendum morbi non quam nec dui luctus,1813-06-29
73,390,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis,1239-02-13
74,112,semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque,1627-10-07
75,352,blandit non interdum in ante vestibulum ante ipsum primis in faucibus,1382-07-30
76,216,tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec,1591-03-23
77,87,justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat,1691-08-09
78,222,vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede,1550-03-15
79,18,dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper,1436-10-07
80,315,vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque,1580-05-04
81,65,mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis,1820-03-16
82,389,aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo,1800-02-08
83,273,vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget,1433-05-31
84,146,sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in,1943-02-11
85,162,eget congue eget semper rutrum nulla nunc purus phasellus in,1858-04-10
86,55,nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer,1854-11-14
87,22,vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc,1375-10-24
88,85,justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan,1827-11-13
89,258,eu felis fusce posuere felis sed lacus morbi sem mauris laoreet,1917-01-02
90,89,curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt,1519-11-11
91,11,tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna,1753-05-13
92,75,eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare,1540-03-14
93,208,at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer,1375-07-22
94,314,felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar,1780-07-15
95,126,quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo,1916-09-11
96,183,venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in,1281-07-23
97,178,convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum,1540-07-16
98,355,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum,1253-12-30
99,23,eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec,1416-04-10
100,166,aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia,1483-09-16
101,103,aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi,1372-03-05
102,297,eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci,1718-12-11
103,127,felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec,1678-06-18
104,318,lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia,1252-12-09
105,310,luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque,1573-05-06
106,13,vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla,1888-03-26
107,197,morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis,1445-11-30
108,29,sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices,1426-12-05
109,162,integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan,2017-05-24
110,218,vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non,1634-09-11
111,275,vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus,1637-04-18
112,347,mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper,1311-04-10
113,232,lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius,1740-11-16
114,293,ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis,1206-11-17
115,24,vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat,1467-05-13
116,189,malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit,1697-09-07
117,190,diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat,1378-03-15
118,82,nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non,1542-04-05
119,110,justo lacinia eget tincidunt eget tempus vel pede morbi porttitor,1421-12-12
120,280,dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium,1494-01-29
121,92,id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada,1427-10-30
122,281,imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed,1422-02-12
123,230,at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt,1835-09-22
124,249,ut odio cras mi pede malesuada in imperdiet et commodo vulputate,1832-03-23
125,218,vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer,1403-05-07
126,94,maecenas leo odio condimentum id luctus nec molestie sed justo,1237-06-10
127,39,nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum,1584-06-08
128,159,morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit,1352-04-15
129,171,amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim,1429-06-24
130,392,porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris,1637-10-17
131,309,nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus,1221-01-30
132,155,ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula,1703-05-15
133,161,metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit,1397-08-27
134,126,dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum,1472-08-18
135,199,ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus,1708-12-08
136,237,vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor,1330-11-07
137,229,eget tempus vel pede morbi porttitor lorem id ligula suspendisse,1757-10-18
138,355,odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor,1819-11-20
139,10,dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis,1687-06-27
140,337,magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien,1825-09-22
141,278,rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet,1961-02-24
142,20,congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc,1704-04-21
143,91,in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus,1900-01-30
144,186,mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer,1403-11-30
145,151,augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat,1365-09-08
146,44,eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec,1254-11-15
147,250,quam sapien varius ut blandit non interdum in ante vestibulum,1435-05-15
148,182,dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec,1471-02-20
149,189,ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci,1860-08-25
150,295,quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa,1883-05-22
151,274,convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo,1611-01-18
152,297,pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien,1442-10-11
153,364,donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id,1891-03-04
154,337,proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at,1900-05-28
155,332,enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus,1311-02-22
156,166,quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra,1883-08-31
157,211,duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero,1668-05-31
158,223,et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis,1460-04-12
159,262,ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non,1280-10-25
160,16,pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus,1553-11-27
161,392,nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi,1583-07-21
162,162,dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean,1439-09-20
163,178,potenti cras in purus eu magna vulputate luctus cum sociis natoque,1814-05-17
164,156,fusce consequat nulla nisl nunc nisl duis bibendum felis sed,1367-12-11
165,301,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,1364-09-20
166,40,vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper,1564-09-01
167,7,nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus,1513-04-29
168,14,quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio,1941-03-09
169,245,mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales,1930-11-26
170,34,malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit,1440-07-04
171,55,eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante,1518-05-09
172,370,nulla justo aliquam quis turpis eget elit sodales scelerisque mauris,1417-03-19
173,358,et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec,1913-06-18
174,232,ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque,1378-03-08
175,59,donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet,1503-08-05
176,392,tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus,1634-04-24
177,238,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum,1963-08-29
178,55,adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget,1265-07-27
179,269,vestibulum ante ipsum primis in faucibus orci luctus et ultrices,1404-09-14
180,99,pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare,1797-05-17
181,297,curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu,1461-09-20
182,128,morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui,1501-04-29
183,269,ante vivamus tortor duis mattis egestas metus aenean fermentum donec,1552-10-10
184,391,consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi,1375-05-31
185,56,hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante,1451-08-03
186,129,eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor,1855-03-07
187,249,felis fusce posuere felis sed lacus morbi sem mauris laoreet ut,1734-05-05
188,209,lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus,1301-11-27
189,360,libero non mattis pulvinar nulla pede ullamcorper augue a suscipit,1232-12-29
190,156,ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi,1646-04-17
191,348,pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas,1600-03-16
192,118,ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros,1850-02-03
193,371,felis sed interdum venenatis turpis enim blandit mi in porttitor,1947-04-22
194,341,hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer,1357-01-29
195,299,dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at,1307-11-22
196,118,id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu,1522-12-06
197,94,at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas,1746-10-23
198,367,accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor,1970-10-22
199,397,est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum,1958-09-06
